gene_id,acronym,gene_name,ise_id,plane,entrez,valid
86249,Pggt1b,"protein geranylgeranyltransferase type I, beta subunit",70300768,sagittal,225467,True
87653,Pgap2,post-GPI attachment to proteins 2,79360302,sagittal,233575,True
17448,Msc,musculin,69289411,sagittal,17681,True
85169,Cd300ld,CD300 molecule-like family member d,75828019,sagittal,217305,True
82883,Hps1,Hermansky-Pudlak syndrome 1 homolog (human),69735084,sagittal,192236,True
93043,Shc4,"SHC (Src homology 2 domain containing) family, member 4",71493789,sagittal,271849,True
11825,Bckdha,"branched chain ketoacid dehydrogenase E1, alpha polypeptide",68443080,sagittal,12039,True
53964,4930458L03Rik,RIKEN cDNA 4930458L03 gene,73513263,sagittal,78124,True
64285,AI428898,expressed sequence AI428898,71212563,sagittal,100115,True
82129,Hook2,hook homolog 2 (Drosophila),68342033,sagittal,170833,True
86130,March2,membrane-associated ring finger (C3HC4) 2,68076533,sagittal,224703,True
60916,Ugt1a6a,"UDP glucuronosyltransferase 1 family, polypeptide A6A",70194564,sagittal,94284,True
54440,Pde6h,"phosphodiesterase 6H, cGMP-specific, cone, gamma",71393334,sagittal,78600,True
49687,5430414B19Rik,RIKEN cDNA 5430414B19 gene,74580799,sagittal,73846,True
17148,Mme,membrane metallo endopeptidase,69549162,sagittal,17380,True
17148,Mme,membrane metallo endopeptidase,77371755,coronal,17380,True
89073,Lrrc61,leucine rich repeat containing 61,68444958,sagittal,243371,True
92627,Dpcr1,diffuse panbronchiolitis critical region 1 (human),70298208,sagittal,268949,True
86582,Camk1d,calcium/calmodulin-dependent protein kinase ID,69540302,sagittal,227541,True
86582,Camk1d,calcium/calmodulin-dependent protein kinase ID,73992927,coronal,227541,True
14510,Gpc3,glypican 3,71020431,coronal,14734,True
14510,Gpc3,glypican 3,69173280,sagittal,14734,True
16314,Napsa,napsin A aspartic peptidase,69549295,sagittal,16541,True
48320,Hsdl2,hydroxysteroid dehydrogenase like 2,75692827,sagittal,72479,True
48320,Hsdl2,hydroxysteroid dehydrogenase like 2,74047906,coronal,72479,True
45447,Lnp,limb and neural patterns,69028438,sagittal,69605,True
45410,Vkorc1l1,"vitamin K epoxide reductase complex, subunit 1-like 1",76081920,sagittal,69568,True
44332,Zfp579,zinc finger protein 579,73584705,sagittal,68490,True
46840,Naa40,"N(alpha)-acetyltransferase 40, NatD catalytic subunit, homolog (S. cerevisiae)",70305006,sagittal,70999,True
139760,Mm.321917,Unigene Mm.321917,71158888,sagittal,None,True
52430,Unc5cl,unc-5 homolog C (C. elegans)-like,68498723,sagittal,76589,True
80217,Caln1,calneuron 1,69540290,sagittal,140904,True
130010,Gm13490,predicted gene 13490,74581211,sagittal,433426,True
31440,Kctd18,potassium channel tetramerisation domain containing 18,70305114,sagittal,51960,True
67910,Tmem98,transmembrane protein 98,576427,sagittal,103743,True
129686,AA388235,expressed sequence AA388235,73635413,sagittal,433100,True
22383,Slc23a3,"solute carrier family 23 (nucleobase transporters), member 3",72001969,sagittal,22626,True
88335,Zfp938,zinc finger protein 938,68632094,sagittal,237411,True
89358,Zdhhc19,"zinc finger, DHHC domain containing 19",69114932,sagittal,245308,True
106413,Cxxc4,CXXC finger 4,74277639,sagittal,319478,True
42964,Mastl,microtubule associated serine/threonine kinase-like,69752083,sagittal,67121,True
42964,Mastl,microtubule associated serine/threonine kinase-like,81790716,sagittal,67121,True
46079,Rnf168,ring finger protein 168,75985956,sagittal,70238,True
12970,Dct,dopachrome tautomerase,69237185,sagittal,13190,True
16298,Kcnk1,"potassium channel, subfamily K, member 1",67850952,coronal,16525,True
16298,Kcnk1,"potassium channel, subfamily K, member 1",68203436,sagittal,16525,True
53649,Lrrc42,leucine rich repeat containing 42,68151420,sagittal,77809,True
87077,Tesk2,testis-specific kinase 2,556979,sagittal,230661,True
35498,Acin1,apoptotic chromatin condensation inducer 1,100147503,sagittal,56215,True
35498,Acin1,apoptotic chromatin condensation inducer 1,100146043,sagittal,56215,True
41882,D14Ertd449e,"DNA segment, Chr 14, ERATO Doi 449, expressed",68638131,sagittal,66039,True
150249,E430033C13Rik*,RIKEN cDNA E430033C13 gene (non-RefSeq),74300765,sagittal,None,True
21586,Thbs3,thrombospondin 3,69837447,sagittal,21827,True
21586,Thbs3,thrombospondin 3,74657923,coronal,21827,True
42814,Cdk5rap1,CDK5 regulatory subunit associated protein 1,71608226,sagittal,66971,True
84399,Arap2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",74881937,coronal,212285,True
84399,Arap2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",69548834,sagittal,212285,True
37629,Tpm3,"tropomyosin 3, gamma",199223,sagittal,59069,True
37629,Tpm3,"tropomyosin 3, gamma",70919358,sagittal,59069,True
37629,Tpm3,"tropomyosin 3, gamma",275873,coronal,59069,True
53361,Mtus2,microtubule associated tumor suppressor candidate 2,69013597,sagittal,77521,True
53361,Mtus2,microtubule associated tumor suppressor candidate 2,70431434,coronal,77521,True
120105,Gm962,predicted gene 962,70298507,sagittal,381201,True
54549,Spink8,"serine peptidase inhibitor, Kazal type 8",72129253,coronal,78709,True
54549,Spink8,"serine peptidase inhibitor, Kazal type 8",69114085,sagittal,78709,True
13606,Epb4.2,erythrocyte protein band 4.2,69672072,sagittal,13828,True
21823,Trpc4,"transient receptor potential cation channel, subfamily C, member 4",1305,coronal,22066,True
21823,Trpc4,"transient receptor potential cation channel, subfamily C, member 4",79904698,sagittal,22066,True
21823,Trpc4,"transient receptor potential cation channel, subfamily C, member 4",1306,sagittal,22066,True
20194,Pmel,premelanosome protein,69873749,sagittal,20431,True
107653,Slc26a9,"solute carrier family 26, member 9",70302123,sagittal,320718,True
87382,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",312,sagittal,232174,True
87382,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",72081548,coronal,232174,True
87382,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",79568022,coronal,232174,True
42831,Lap3,leucine aminopeptidase 3,583844,sagittal,66988,True
29604,Ulk2,unc-51 like kinase 2,70194570,sagittal,29869,True
44314,Tmem126b,transmembrane protein 126B,70445377,sagittal,68472,True
44118,Toe1,"target of EGR1, member 1 (nuclear)",532669,sagittal,68276,True
106605,Eml5,echinoderm microtubule associated protein like 5,74513941,sagittal,319670,True
87840,Tmem184c,transmembrane protein 184C,70474047,sagittal,234463,True
35377,Cts7,cathepsin 7,68910985,sagittal,56092,True
45380,Antxr1,anthrax toxin receptor 1,70230945,sagittal,69538,True
108575,Zfp532,zinc finger protein 532,69262264,sagittal,328977,True
42813,Ssbp2,single-stranded DNA binding protein 2,70928385,coronal,66970,True
42813,Ssbp2,single-stranded DNA binding protein 2,631701,sagittal,66970,True
92882,Ttll13,"tubulin tyrosine ligase-like family, member 13",70201504,sagittal,269954,True
51446,Kdm5b,lysine (K)-specific demethylase 5B,69289243,sagittal,75605,True
31293,Ccnc,cyclin C,75988358,sagittal,51813,True
23887,Zeb2,zinc finger E-box binding homeobox 2,71924066,coronal,24136,True
23887,Zeb2,zinc finger E-box binding homeobox 2,68844468,sagittal,24136,True
87288,Oasl1,2'-5' oligoadenylate synthetase-like 1,68446009,sagittal,231655,True
53492,Zfp955a,zinc finger protein 955A,71210971,sagittal,77652,True
50190,Fam160a2,"family with sequence similarity 160, member A2",71656725,sagittal,74349,True
108485,Apol11b,apolipoprotein L 11b,70724505,sagittal,328563,True
133040,LOC436488,LOC436488,71022702,sagittal,436488,True
121932,Gm1758,predicted gene 1758,74735319,sagittal,385737,True
150400,I920003L04Rik*,RIKEN cDNA I920003L04 gene (non-RefSeq),73731346,sagittal,None,True
50252,Ppapdc2,phosphatidic acid phosphatase type 2 domain containing 2,73512365,coronal,74411,True
50252,Ppapdc2,phosphatidic acid phosphatase type 2 domain containing 2,71213005,sagittal,74411,True
42043,Commd6,COMM domain containing 6,71022990,sagittal,66200,True
42043,Commd6,COMM domain containing 6,74580978,sagittal,66200,True
29594,Sult4a1,"sulfotransferase family 4A, member 1",69113650,sagittal,29859,True
12791,Csrp2,cysteine and glycine-rich protein 2,73513654,sagittal,13008,True
42502,Acp6,"acid phosphatase 6, lysophosphatidic",68924572,sagittal,66659,True
42502,Acp6,"acid phosphatase 6, lysophosphatidic",71148016,sagittal,66659,True
11556,Ap1s1,"adaptor protein complex AP-1, sigma 1",69526707,sagittal,11769,True
89942,Il27,interleukin 27,71764727,sagittal,246779,True
92650,Ctif,CBP80/20-dependent translation initiation factor,68920413,sagittal,269037,True
12537,Clock,circadian locomotor output cycles kaput,274,sagittal,12753,True
12537,Clock,circadian locomotor output cycles kaput,273,coronal,12753,True
122636,Tas2r140,"taste receptor, type 2, member 140",70302401,sagittal,387616,True
84737,Kdm5a,lysine (K)-specific demethylase 5A,74990486,sagittal,214899,True
92075,Otos,otospiralin,69782611,sagittal,260301,True
40895,Itm2c,integral membrane protein 2C,67936207,coronal,64294,True
40895,Itm2c,integral membrane protein 2C,77414652,coronal,64294,True
40895,Itm2c,integral membrane protein 2C,68196976,sagittal,64294,True
18206,P2rx7,"purinergic receptor P2X, ligand-gated ion channel, 7",75551477,coronal,18439,True
18206,P2rx7,"purinergic receptor P2X, ligand-gated ion channel, 7",81600560,sagittal,18439,True
18206,P2rx7,"purinergic receptor P2X, ligand-gated ion channel, 7",71280580,sagittal,18439,True
12009,Klf5,Kruppel-like factor 5,100146139,sagittal,12224,True
36063,Ralgapa1,"Ral GTPase activating protein, alpha subunit 1",73496917,sagittal,56784,True
131948,LOC435374,similar to hypothetical protein C230069C04,71022487,sagittal,435374,True
87604,Mrgprb4,"MAS-related GPR, member B4",70784648,sagittal,233230,True
130818,LOC434238,LOC434238,70787615,sagittal,434238,True
50333,Kbtbd13,kelch repeat and BTB (POZ) domain containing 13,69443439,sagittal,74492,True
87293,Fbxw8,F-box and WD-40 domain protein 8,69672378,sagittal,231672,True
20013,Scd2,stearoyl-Coenzyme A desaturase 2,74819250,coronal,20250,True
20013,Scd2,stearoyl-Coenzyme A desaturase 2,68633119,sagittal,20250,True
86087,Scaf4,SR-related CTD-associated factor 4,73679038,sagittal,224432,True
91896,Olfr676,olfactory receptor 676,74734824,sagittal,259099,True
84850,BC013529,cDNA sequence BC013529,68341513,sagittal,215751,True
121359,Arl9,ADP-ribosylation factor-like 9,73513435,sagittal,384185,True
54126,Nav2,neuron navigator 2,74641113,coronal,78286,True
54126,Nav2,neuron navigator 2,71158952,sagittal,78286,True
54126,Nav2,neuron navigator 2,69443367,sagittal,78286,True
14087,Cidec,cell death-inducing DFFA-like effector c,69548952,sagittal,14311,True
120079,Gm1610,"gene model 1610, (NCBI)",74743417,sagittal,381118,True
93010,Serpina3b,"serine (or cysteine) peptidase inhibitor, clade A, member 3B",70228304,sagittal,271047,True
37782,Wbp11,WW domain binding protein 11,641536,sagittal,60321,True
150322,F830208N12Rik*,RIKEN cDNA F830208N12 gene (non-RefSeq),73731442,sagittal,None,True
89026,Fam59b,"family with sequence similarity 59, member B",69672952,sagittal,242915,True
47831,Ddx54,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,71280874,sagittal,71990,True
60886,Wbscr16,Williams-Beuren syndrome chromosome region 16 homolog (human),67815552,sagittal,94254,True
47841,1600016N20Rik,RIKEN cDNA 1600016N20 gene,74581271,sagittal,72000,True
52733,Lass2,"LAG1 homolog, ceramide synthase 2",68196984,sagittal,76893,True
85382,Sgtb,"small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta",70439135,sagittal,218544,True
85382,Sgtb,"small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta",71924341,coronal,218544,True
87881,Edc4,enhancer of mRNA decapping 4,68911011,sagittal,234699,True
43181,Rffl,ring finger and FYVE like domain containing protein,73584861,sagittal,67338,True
30014,Sall2,sal-like 2 (Drosophila),69290435,sagittal,50524,True
86114,Bnip1,BCL2/adenovirus E1B interacting protein 1,69133845,sagittal,224630,True
60714,Mrpl43,mitochondrial ribosomal protein L43,73818779,sagittal,94067,True
91560,Olfr1104,olfactory receptor 1104,74720591,sagittal,258763,True
106009,Gimap9,"GTPase, IMAP family member 9",76080955,sagittal,317758,True
90894,Olfr1500,olfactory receptor 1500,74720874,sagittal,258097,True
88486,Zfp874a,zinc finger protein 874a,75934931,sagittal,238692,True
29552,Igfbp7,insulin-like growth factor binding protein 7,81654139,sagittal,29817,True
150305,F830016C15Rik*,RIKEN cDNA F830016C15 gene (non-RefSeq),74427106,sagittal,None,True
14084,Fshb,follicle stimulating hormone beta,69174427,sagittal,14308,True
91616,Olfr640,olfactory receptor 640,73653470,sagittal,258819,True
41629,Dap3,death associated protein 3,68342075,sagittal,65111,True
52452,1700071A11Rik,RIKEN cDNA 1700071A11 gene,71492886,sagittal,76611,True
49866,Nphp3,nephronophthisis 3 (adolescent),76003713,sagittal,74025,True
12412,Cfc1,"cripto, FRL-1, cryptic family 1",81654125,sagittal,12627,True
32924,Isg15,ISG15 ubiquitin-like modifier,68563110,sagittal,100038882,True
83363,Hs3st2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2,70724834,sagittal,195646,True
83363,Hs3st2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2,74988765,coronal,195646,True
31365,Tubgcp4,"tubulin, gamma complex associated protein 4",70919454,sagittal,51885,True
31365,Tubgcp4,"tubulin, gamma complex associated protein 4",71210190,sagittal,51885,True
48802,Slc17a7,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",69014470,sagittal,72961,True
48802,Slc17a7,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",75081210,coronal,72961,True
48802,Slc17a7,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",70436317,coronal,72961,True
88497,Tnpo1,transportin 1,68667910,sagittal,238799,True
129233,LOC432644,hypothetical gene supported by AK080739,74510230,sagittal,432644,True
108940,Fam154b,"family with sequence similarity 154, member B",70305646,sagittal,330577,True
48462,Pdzd11,PDZ domain containing 11,545089,sagittal,72621,True
36086,Scamp5,secretory carrier membrane protein 5,81599672,sagittal,56807,True
36086,Scamp5,secretory carrier membrane protein 5,583561,sagittal,56807,True
139868,Mm.359599,Unigene Mm.359599,71209916,sagittal,None,True
17157,Mmp16,matrix metallopeptidase 16,69015308,sagittal,17389,True
17157,Mmp16,matrix metallopeptidase 16,72129244,coronal,17389,True
143929,LOC545748,-,75043665,sagittal,545748,True
60358,Pcdhgc3,"protocadherin gamma subfamily C, 3",70784952,sagittal,93706,True
45439,Afg3l2,AFG3(ATPase family gene 3)-like 2 (yeast),70445568,sagittal,69597,True
50226,Mudeng,"MU-2/AP1M2 domain containing, death-inducing",67787329,sagittal,74385,True
44409,Cgref1,cell growth regulator with EF hand domain 1,532681,sagittal,68567,True
17216,Mdh2,"malate dehydrogenase 2, NAD (mitochondrial)",68080709,sagittal,17448,True
51486,1700011F14Rik,RIKEN cDNA 1700011F14 gene,69113859,sagittal,75645,True
65318,B630005N14Rik,RIKEN cDNA B630005N14 gene,69527968,sagittal,101148,True
120160,Batf3,"basic leucine zipper transcription factor, ATF-like 3",70723337,sagittal,381319,True
85411,Ube2e2,ubiquitin-conjugating enzyme E2E 2,70539166,sagittal,218793,True
21449,Tekt1,tektin 1,80342213,sagittal,21689,True
21449,Tekt1,tektin 1,75694285,sagittal,21689,True
21449,Tekt1,tektin 1,75080238,coronal,21689,True
16895,Smad1,MAD homolog 1 (Drosophila),70593359,sagittal,17125,True
35275,Fmo2,flavin containing monooxygenase 2,68444744,sagittal,55990,True
47593,Gtf3c2,"general transcription factor IIIC, polypeptide 2, beta",7,coronal,71752,True
47593,Gtf3c2,"general transcription factor IIIC, polypeptide 2, beta",8,sagittal,71752,True
47593,Gtf3c2,"general transcription factor IIIC, polypeptide 2, beta",9,sagittal,71752,True
47593,Gtf3c2,"general transcription factor IIIC, polypeptide 2, beta",68444732,sagittal,71752,True
44616,Ms4a6d,"membrane-spanning 4-domains, subfamily A, member 6D",68637802,sagittal,68774,True
70512,Ildr1,immunoglobulin-like domain containing receptor 1,100142551,sagittal,106347,True
12401,Cenpb,centromere protein B,76081088,sagittal,12616,True
71407,AI837181,expressed sequence AI837181,634459,sagittal,107242,True
149752,4732494K09Rik*,RIKEN cDNA 4732494K09 gene (non-RefSeq),73808246,sagittal,None,True
18969,Ptch1,patched homolog 1,69817625,sagittal,19206,True
20705,Svs5,seminal vesicle secretory protein 5,69887499,sagittal,20944,True
129466,LOC432877,LOC432877,70611359,sagittal,432877,True
130638,LOC434058,similar to AP2 associated kinase 1; adaptor-associated kinase 1,70787227,sagittal,434058,True
73241,Fbxw17,F-box and WD-40 domain protein 17,68743913,sagittal,109082,True
14175,Gabra6,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6",69256866,sagittal,14399,True
14175,Gabra6,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6",75551467,coronal,14399,True
18545,Pla2g2c,"phospholipase A2, group IIC",68632691,sagittal,18781,True
107119,Lrrc58,leucine rich repeat containing 58,70231941,sagittal,320184,True
33272,Lpar2,lysophosphatidic acid receptor 2,69237209,sagittal,53978,True
92636,Strn,"striatin, calmodulin binding protein",69887391,sagittal,268980,True
92636,Strn,"striatin, calmodulin binding protein",73521824,coronal,268980,True
17299,Mras,muscle and microspikes RAS,69201588,sagittal,17532,True
17299,Mras,muscle and microspikes RAS,71764156,sagittal,17532,True
17299,Mras,muscle and microspikes RAS,72119592,coronal,17532,True
50152,1700113P08Rik,RIKEN cDNA 1700113P08 gene,71211326,sagittal,74311,True
26666,Cep110,centrosomal protein 110,71213228,sagittal,26920,True
26666,Cep110,centrosomal protein 110,74580913,sagittal,26920,True
21690,Tnfrsf10b,"tumor necrosis factor receptor superfamily, member 10b",70302551,sagittal,21933,True
86791,D630003M21Rik,RIKEN cDNA D630003M21 gene,75990492,sagittal,228846,True
157354,A230072I06Rik,RIKEN cDNA A230072I06 gene,73906251,sagittal,619290,True
19116,Rac1,RAS-related C3 botulinum substrate 1,68191504,sagittal,19353,True
37593,Mkks,McKusick-Kaufman syndrome protein,70919209,sagittal,59030,True
15749,Ifnar2,interferon (alpha and beta) receptor 2,69169301,sagittal,15976,True
92700,Fam171a1,"family with sequence similarity 171, member A1",69447822,sagittal,269233,True
92700,Fam171a1,"family with sequence similarity 171, member A1",72283797,coronal,269233,True
47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,75077281,coronal,71660,True
47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,68920749,sagittal,71660,True
52418,Faf2,Fas associated factor family member 2,71492964,sagittal,76577,True
33657,Ctnnal1,"catenin (cadherin associated protein), alpha-like 1",68667097,sagittal,54366,True
42851,1600012F09Rik,RIKEN cDNA 1600012F09 gene,69113602,sagittal,67008,True
138687,TC1570131,TIGR MGI TC1570131,70919955,sagittal,None,True
84638,Mll1,myeloid/lymphoid or mixed-lineage leukemia 1,69289375,sagittal,214162,True
20417,Sod1,"superoxide dismutase 1, soluble",994,coronal,20655,True
20417,Sod1,"superoxide dismutase 1, soluble",79749602,sagittal,20655,True
20417,Sod1,"superoxide dismutase 1, soluble",79587726,coronal,20655,True
20417,Sod1,"superoxide dismutase 1, soluble",993,sagittal,20655,True
60359,Pcdhgc4,"protocadherin gamma subfamily C, 4",70784958,sagittal,93707,True
87188,Gckr,glucokinase regulatory protein,74274683,coronal,231103,True
87188,Gckr,glucokinase regulatory protein,71616813,sagittal,231103,True
149984,A130029G22Rik*,RIKEN cDNA A130029G22 gene (non-RefSeq),73808504,sagittal,None,True
82834,Nadk,NAD kinase,532589,sagittal,192185,True
54433,Nrip3,nuclear receptor interacting protein 3,73520999,coronal,78593,True
54433,Nrip3,nuclear receptor interacting protein 3,69782385,sagittal,78593,True
23641,Gpc6,glypican 6,1737,sagittal,23888,True
23641,Gpc6,glypican 6,1736,coronal,23888,True
43054,Armc10,armadillo repeat containing 10,68924769,sagittal,67211,True
91872,Olfr641,olfactory receptor 641,74734776,sagittal,259075,True
122229,Ssxb2,"synovial sarcoma, X member B, breakpoint 2",71662901,sagittal,387132,True
46401,Wars2,tryptophanyl tRNA synthetase 2 (mitochondrial),70194952,sagittal,70560,True
86704,Ambra1,autophagy/beclin 1 regulator 1,70528575,sagittal,228361,True
17788,Nfatc3,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3",75934935,sagittal,18021,True
12705,Crhr2,corticotropin releasing hormone receptor 2,79677381,sagittal,12922,True
